id_avis,id_restaurant,nom_utilisateur,note_restaurant,date_avis,titre_avis,contenu_avis
1,1,Companion43659771362,4.0,2024-12-06,Kuma ma petite cantine du 6 éme,"Agréable petit restaurant à la déco typique,la cuisine est bonne et faites maison. Tenu par un adorable couple,le service est rapide et agréable.Je le recommande vivement.A essayer: la soupe aux nouilles froide."
2,1,klinkou,5.0,2024-10-03,"Top, allez-y","Ce restaurant est une magnifique découverte. La cuisine y est excellente et le service top. Nous avons beaucoup apprécié et y retournerons sans hésiter. En plus, ils avaient des cookies au matcha... un délice."
3,1,JoCHD,5.0,2024-04-10,UNE BONNE SURPRISE,"Lendroit ne paie pas de mine mais les plats sont faits maison, les gyoza sont excellents, le ramen aussi et jai testé le tiramisu au thé macha, très bon ! En plus les prix sont raisonnables, je vous le conseille"
4,1,Tiffany M,5.0,2024-02-03,Super moment,"Un très bon moment, les plats sont très bons et le service très agréable. Le prix est tout à fait raisonnable compte tenu de la qualité des plats"
5,1,stéphanie c,1.0,2023-08-05,Horrible malgré un cadre agréable,"1ère et dernière fois !!! Jai commandé un Donbury shakedon (un grand bol de riz avec du saumon). Alors comment dire ? Une honte, le saumon censé être sauté à la poêle et caramélisé est en réalité constitué de tous les bas morceaux écartés lors de la confection des sushis dans ce même restaurant. Vous savez, les morceaux gris qui sont retirés du saumon parce quils ont mauvais goût !!! Eh bien, tous ces morceaux dont personne ne veux vous sont servis sur un grand bol de riz trop cuit et sans saveur. Le saumon nétait en aucun cas caramélisé ! Ajoutés à cela des petits pois surgelés et quelques rares carottes râpées en sachet. Limpression dêtre dans une mauvaise cantine scolaire. Quel mépris pour le client !!! Ce nétait vraiment pas bon !"
6,1,JTA,4.0,2023-06-05,A tomber,"Situé dans le quartier des Brotteaux, lizakaya Kuma est simple daccès et facilement repérable malgré sa devanture discrète. Lintérieur est tout bonnement sublime avec une déco épurée typiquement japonaise. La cuisine na vraiment rien à envier aux autres restaurants japonais. Les plats sont réalisés sur place, juste derrière le comptoir, et servis tout chaud ! Nous avons dailleurs lembarras du choix et tout le monde y trouve son compte. Tellement bon quon a hésité pour commander un autre hors dœuvre (vive les takoyakis) ! Quant aux desserts, très bon également, avec un bon accent sur les desserts au thé vert. Petite note pour les amateurs de sake (alcool de riz japonais) : le Kuma propose une palette de choix et en fait sa spécialité. Venez déguster des spécialités japonaises pour le plus grand plaisir de vos papilles ! Vous ne serez pas déçus :) Attention aux gourmands et/ou gros mangeurs, la note peut monter et se saler très rapidement..."
7,1,CREPIEUX-SIVELLE,5.0,2023-05-23,UNE AGREABLE SOIREE AUX ACCENTS NIPPONS,"Une belle soirée entre amis. Nous nous sommes régalés. Des plats typiques très goûteux, des bières très agréables et en grand format. Je recommande le tiramisu au thé vert, un délice. Le service était parfait, un tantinet trop rapide toutefois. Des serveurs très agréables. Un petit cafouillage à la caisse au moment de payer, rien de bien méchant. Nous recommandons."
8,1,Débora F,3.0,2023-05-09,Bien !,"Je conseille fortement le sushi de saumon ! Les serveurs sont très sympas aussi. Jai déjà commandé plusieurs fois en livraison, et cest toujours bien emballé. Après, cest toujours mieux dy aller manger sur place car on trouve des bonnes propositions sur lardoise."
9,1,Seuphie,5.0,2023-02-09,Meilleur japonais tradi de Lyon,Quel régal Les entrées sont délicieuses dans une cuisine typiquement japonaise dans prétention Les plats étaient copieux et exquis Un ami ayant vécu au Japon na retrouvé le vrai goût de la cuisine japonaise que dans ce restaurant donc je recommande ++
10,1,Yopa,5.0,2022-12-15,Un petit coin de paradis !,"Installée avec gentillesse au comptoir, la serveuse a su merveilleusement me conseiller pour la bière mais aussi pour le thé. Concernant les plats, les gyozas étaient parfaitement cuits, fondants et juteux comme il faut. Le Teriyaki-don était lui aussi succulent et très bien accompagné avec sa soupe miso. Le Doriyaki avec sa boule de glace fermait parfaitement la marche accompagné dun très bon thé qui fut une belle découverte. Bref ! Tout était parfait. Je reviendrais avec plaisir goûter le reste de la carte."
11,1,ManoCCC,4.0,2022-10-08,Cadre sympa pour petit restaurant japonais,"Les bonnes critiques sur trip advisor nous ont fait pousser les portes de ce petit restaurant japonais. Super accueil gracieux et service efficace des deux chargées de la prise de commande et du service. De bon conseil, elles nous ont fait testé le saké. Côté cuisine, cest bon mais sans éclats gustatifs. Les plats sont copieux et doguibags possible pour les restes. Le restaurant est vite pleine réservation fortement recommandée."
12,1,Nels,5.0,2022-07-24,Belle découverte,Nos enfants voulaient goûter des ramen (effet série Naruto 😉) donc nous avons opté pr ce restaurant lyonnais. Quel bon moment! On sest régalé et les serveuses sont très professionnelles et très sympathiques ( on a pu bien échanger sur la nourriture japonnaise et même sur le manga). Continuez à nous régaler.
13,1,Rébecca F,5.0,2022-07-08,On recommande,"Repas très bon, personnel accueillant et souriant 😊 endroit cosy et bien decoré. on recommande, on a passé un très bon moment."
14,1,1ndk,5.0,2022-06-20,Belle surprise,"En restaurant avec une belle décoration, et des assiettes très bien présentées. Nous avons pris un ramen curry et un ramen chashu. Le tonkatsu était très bien réalisé et jai tout simplement adoré le tofu soyeux en entrée, une entrée froide parfaite en cette chaleur. Nous navons pas pris de saké mais ils ont une très belle sélection."
15,1,laurence g,5.0,2022-06-09,Très belle surprise ! Top,"Quelle belle surprise ! Un accueil chaleureux, les cuisines des lentrée montrent les chefs au boulot. Carte qui nest pas surchargée donc cest bon signe ! Un choix de bières japonaises fort sympathiques . Nous avons pris 2 ramens : excellents ( bouillon aux goûts équilibrés, nouilles extras ) ; puis un the matcha gourmand : vraiment très très bien . On sest régalé ! Super rapport qualité prix ! Bravo bravo"
16,1,Sdpt,5.0,2022-06-04,Très bons ramens,"Très bon japonais lyonnais, nous avons été conquis autant par les plats que par le service ! Lendroit est très sympa mais pensé à réserver."
17,1,Camille P,4.0,2022-05-26,Découverte du Japon,"Nous avons apprécié tous les plats que nous avons pris, et cela nous a fait découvrir la gastronomie japonaise, nous qui ny connaissions pas grand chose ! Les gyozas aux légumes étaient excellents, fondants et savoureux, le ramen et le légumes udon également ! Il faut goûter les desserts, ce nest pas des goûts et des textures dont on a lhabitude ! Nous avons passé un bon moment, et les prix sont très corrects pour la qualité et la quantité !"
18,1,e98694,2.0,2022-04-27,Nourriture très décevante,Restaurant au jolie décors japonais. Les serveuses et les cuisiniers (chinois et non japonais) sont très sympathiques. Malheureusement la nourriture nest pas à la hauteur. La soupe est insipide. Lœuf qui devrait être mollé est un œuf dur. Le thé vert est servi avec de leau bouillante (donc amer) alors quil devrait être infusé peu de temps dans de leau à 70-80 degrés. Décevant mais pas trop cher (13 euros environ le plat)
19,1,Tom01,4.0,2022-03-06,Très belle découverte,Accueil très sympathique et souriant. Les personnes prennent le temps dexpliquer les plats et avec sourire. Nous avons pris 3 petits plats a partager et 2 plats de nouilles. Attention c très copieux. Tout était très bon et parfaitement présenté. Je suis pas un grand connaisseur donc je peux juste dire que cela nous a beaucoup plu. Nous reviendrons.
20,1,Mère et fils,5.0,2022-02-28,Le Japon à Lyon !!!,Dès que nous passons la porte du restaurant nous nous croyons de suite au Japon ! Cuisine excellente !! et personnel au top !! Nous recommandons absolument !! Nous reviendrons !!
