id_restaurant,id_localisation,nom,categorie,tags,price,note_globale,total_comments,url,id_localisation
1,1,KUMA cantine,Restaurant,"Japonaise, Asiatique, €€-€€€",€€-€€€,4.5,236,https://www.tripadvisor.fr/Restaurant_Review-g187265-d7171160-Reviews-KUMA_cantine-Lyon_Rhone_Auvergne_Rhone_Alpes.html,1
2,2,Mattsam Restaurant Messob,Restaurant,"Africaine, Éthiopienne, €€-€€€",€€-€€€,4.0,276,https://www.tripadvisor.fr/Restaurant_Review-g187265-d1330943-Reviews-Mattsam_Restaurant_Messob-Lyon_Rhone_Auvergne_Rhone_Alpes.html,2
3,3,Brasserie des Confluences,Restaurant,"€€-€€€, Française, Européenne",€€-€€€,4.0,700,https://www.tripadvisor.fr/Restaurant_Review-g187265-d7698838-Reviews-Brasserie_des_Confluences-Lyon_Rhone_Auvergne_Rhone_Alpes.html,3
4,4,Christian Tetedoie,Restaurant,"Française, Européenne, €€€€",€€€€,4.0,1876,https://www.tripadvisor.fr/Restaurant_Review-g187265-d715010-Reviews-Christian_Tetedoie-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4
5,5,Gang Nam,Restaurant,"Japonaise, Barbecue/Grillades, €€-€€€",€€-€€€,4.5,108,https://www.tripadvisor.fr/Restaurant_Review-g187265-d6694423-Reviews-Gang_Nam-Lyon_Rhone_Auvergne_Rhone_Alpes.html,5
6,6,Crêperie La Marie Morgane,Restaurant,"Française, Convient aux végétariens, €",€,4.5,202,https://www.tripadvisor.fr/Restaurant_Review-g187265-d4338972-Reviews-Creperie_La_Marie_Morgane-Lyon_Rhone_Auvergne_Rhone_Alpes.html,6
7,7,Fiston - Bouchon Lyonnais,Restaurant,"Française, Saine, €€-€€€",€€-€€€,4.5,413,https://www.tripadvisor.fr/Restaurant_Review-g187265-d15130370-Reviews-Fiston_Bouchon_Lyonnais-Lyon_Rhone_Auvergne_Rhone_Alpes.html,7
8,8,Les Terrasses de Lyon,Restaurant,"€€€€, Française, Convient aux végétariens",€€€€,4.5,918,https://www.tripadvisor.fr/Restaurant_Review-g187265-d3727154-Reviews-Les_Terrasses_de_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html,8
9,9,Empanadas Club,Restaurant,"Latino, Saine, €",€,5.0,418,https://www.tripadvisor.fr/Restaurant_Review-g187265-d19896976-Reviews-Empanadas_Club-Lyon_Rhone_Auvergne_Rhone_Alpes.html,9
10,10,Kenbo,Restaurant,"€€-€€€, Asiatique, Thaï, Convient aux végétariens",€€-€€€,4.5,204,https://www.tripadvisor.fr/Restaurant_Review-g187265-d9597301-Reviews-Kenbo-Lyon_Rhone_Auvergne_Rhone_Alpes.html,10
