id_avis,id_restaurant,nom_utilisateur,note_restaurant,date_avis,titre_avis,contenu_avis
1,1,Companion43659771362,4.0,Rédigé le 6 décembre 2024,"""Kuma"" ma petite cantine du 6 éme","Agréable petit restaurant à la déco typique,la cuisine est bonne et faites maison. Tenu par un adorable couple,le service est rapide et agréable.Je le recommande vivement.A essayer: la soupe aux nouilles froide."
2,1,klinkou,5.0,Rédigé le 3 octobre 2024,"Top, allez-y","Ce restaurant est une magnifique découverte. La cuisine y est excellente et le service top. Nous avons beaucoup apprécié et y retournerons sans hésiter. 
En plus, ils avaient des cookies au matcha... un délice."
3,1,JoCHD,5.0,Rédigé le 10 avril 2024,UNE BONNE SURPRISE,"L'endroit ne paie pas de mine mais les plats sont faits maison, les gyoza sont excellents, le ramen aussi et j'ai testé le tiramisu au thé macha, très bon ! En plus les prix sont raisonnables, je vous le conseille"
4,1,Tiffany M,5.0,Rédigé le 3 février 2024,Super moment,"Un très bon moment, les plats sont très bons et le service très agréable. Le prix est tout à fait raisonnable compte tenu de la qualité des plats"
5,1,stéphanie c,1.0,Rédigé le 5 août 2023,Horrible malgré un cadre agréable,"1ère et dernière fois !!!
J’ai commandé un Donbury shakedon (un grand bol de riz avec du saumon). 
Alors comment dire ? Une honte, le saumon censé être sauté à la poêle et caramélisé est en réalité constitué de tous les bas morceaux écartés lors de la confection des sushis dans ce même restaurant. Vous savez, les morceaux gris qui sont retirés du saumon parce qu’ils ont mauvais goût !!! Eh bien, tous ces morceaux dont personne ne veux vous sont servis sur un grand bol de riz trop cuit et sans saveur. Le saumon n’était en aucun cas caramélisé ! Ajoutés à cela des petits pois surgelés et quelques rares carottes râpées en sachet. L’impression d’être dans une mauvaise cantine scolaire. Quel mépris pour le client !!!
Ce n’était vraiment pas bon !"
6,1,JTA,4.0,Rédigé le 5 juin 2023,A tomber,"Situé dans le quartier des Brotteaux, l'izakaya Kuma est simple d'accès et facilement repérable malgré sa devanture discrète.
L'intérieur est tout bonnement sublime avec une déco épurée typiquement japonaise.

La cuisine n'a vraiment rien à envier aux autres restaurants japonais.
Les plats sont réalisés sur place, juste derrière le comptoir, et servis tout chaud ! Nous avons d'ailleurs l'embarras du choix et tout le monde y trouve son compte. Tellement bon qu'on a hésité pour commander un autre hors d'œuvre (vive les takoyakis) !
Quant aux desserts, très bon également, avec un bon accent sur les desserts au thé vert.
Petite note pour les amateurs de sake (alcool de riz japonais) : le Kuma propose une palette de choix et en fait sa spécialité.

Venez déguster des spécialités japonaises pour le plus grand plaisir de vos papilles ! Vous ne serez pas déçus :)

Attention aux gourmands et/ou gros mangeurs, la note peut monter et se saler très rapidement..."
7,1,CREPIEUX-SIVELLE,5.0,Rédigé le 23 mai 2023,UNE AGREABLE SOIREE AUX ACCENTS NIPPONS,"Une belle soirée entre amis. Nous nous sommes régalés. Des plats typiques très goûteux, des bières très agréables et en grand format. Je recommande le tiramisu au thé vert, un délice. Le service était parfait, un tantinet trop rapide toutefois. Des serveurs très agréables. Un petit cafouillage à la caisse au moment de payer, rien de bien méchant. Nous recommandons."
8,1,Débora F,3.0,Rédigé le 9 mai 2023,Bien !,"Je conseille fortement le sushi de saumon ! Les serveurs sont très sympas aussi. J'ai déjà commandé plusieurs fois en livraison, et c'est toujours bien emballé. Après, c'est toujours mieux d'y aller manger sur place car on trouve des bonnes propositions sur l'ardoise."
9,1,Seuphie,5.0,Rédigé le 9 février 2023,Meilleur japonais tradi de Lyon,"Quel régal 
Les entrées sont délicieuses dans une cuisine typiquement japonaise dans prétention 
Les plats étaient copieux et exquis 
Un ami ayant vécu au Japon n’a retrouvé le vrai goût de la cuisine japonaise que dans ce restaurant donc je recommande ++"
10,1,Yopa,5.0,Rédigé le 15 décembre 2022,Un petit coin de paradis !,"Installée avec gentillesse au comptoir, la serveuse a su merveilleusement me conseiller pour la bière mais aussi pour le thé. 

Concernant les plats, les gyozas étaient parfaitement cuits, fondants et juteux comme il faut. Le Teriyaki-don était lui aussi succulent et très bien accompagné avec sa soupe miso. Le Doriyaki avec sa boule de glace fermait parfaitement la marche accompagné d'un très bon thé qui fut une belle découverte.

Bref ! Tout était parfait. Je reviendrais avec plaisir goûter le reste de la carte."
11,1,ManoCCC,4.0,Rédigé le 8 octobre 2022,Cadre sympa pour petit restaurant japonais,"Les bonnes critiques sur trip advisor nous ont fait pousser les portes de ce petit restaurant japonais.

Super accueil gracieux et service efficace des deux chargées de la prise de commande et du service.

De bon conseil, elles nous ont fait testé le saké.

Côté cuisine, c'est bon mais sans éclats gustatifs.
Les plats sont copieux et doguibags possible pour les restes.

Le restaurant est vite pleine réservation fortement recommandée."
12,1,Nels,5.0,Rédigé le 24 juillet 2022,Belle découverte,"Nos enfants voulaient goûter des ramen (effet série Naruto 😉) donc nous avons opté pr ce restaurant lyonnais. 
Quel bon moment! On s'est régalé et les serveuses sont très professionnelles et très sympathiques ( on a pu bien échanger sur la nourriture japonnaise et même sur le manga). 
Continuez à nous régaler."
13,1,Rébecca F,5.0,Rédigé le 8 juillet 2022,On recommande,"Repas très bon, personnel accueillant et souriant 😊 endroit cosy et bien decoré. on recommande, on a passé un très bon moment."
14,1,1ndk,5.0,Rédigé le 20 juin 2022,Belle surprise,"En restaurant avec une belle décoration, et des assiettes très bien présentées.
Nous avons pris un ramen curry et un ramen chashu. Le tonkatsu était très bien réalisé et j'ai tout simplement adoré le tofu soyeux en entrée, une entrée froide parfaite en cette chaleur.
Nous n'avons pas pris de saké mais ils ont une très belle sélection."
15,1,laurence g,5.0,Rédigé le 9 juin 2022,Très belle surprise ! Top,"Quelle belle surprise ! Un accueil chaleureux, les cuisines des l’entrée montrent les chefs au boulot. Carte qui n’est pas surchargée donc c’est bon signe ! Un choix de bières japonaises fort sympathiques . Nous avons pris 2 ramens : excellents ( bouillon aux goûts équilibrés, nouilles extras ) ; puis un the matcha gourmand : vraiment très très bien . On s’est régalé ! Super rapport qualité prix ! Bravo bravo"
16,1,Sdpt,5.0,Rédigé le 4 juin 2022,Très bons ramens,"Très bon japonais lyonnais, nous avons été conquis autant par les plats que par le service ! L’endroit est très sympa mais pensé à réserver."
17,1,Camille P,4.0,Rédigé le 26 mai 2022,Découverte du Japon,"Nous avons apprécié tous les plats que nous avons pris, et cela nous a fait découvrir la gastronomie japonaise, nous qui n'y connaissions pas grand chose ! Les gyozas aux légumes étaient excellents, fondants et savoureux, le ramen et le légumes udon également ! Il faut goûter les desserts, ce n'est pas des goûts et des textures dont on a l'habitude ! Nous avons passé un bon moment, et les prix sont très corrects pour la qualité et la quantité !"
18,1,e98694,2.0,Rédigé le 27 avril 2022,Nourriture très décevante,"Restaurant au jolie décors japonais. Les serveuses et les cuisiniers (chinois et non japonais) sont très sympathiques. 
Malheureusement la nourriture n’est pas à la hauteur. La soupe est insipide. L’œuf qui devrait être mollé est un œuf dur. Le thé vert est servi avec de l’eau bouillante (donc amer) alors qu’il devrait être infusé peu de temps dans de l’eau à 70-80 degrés. 
Décevant mais pas trop cher (13 euros environ le plat)"
19,1,Tom01,4.0,Rédigé le 6 mars 2022,Très belle découverte,Accueil très sympathique et souriant. Les personnes prennent le temps d’expliquer les plats et avec sourire. Nous avons pris 3 petits plats a partager et 2 plats de nouilles. Attention c très copieux. Tout était très bon et parfaitement présenté. Je suis pas un grand connaisseur donc je peux juste dire que cela nous a beaucoup plu. Nous reviendrons.
20,1,Mère et fils,5.0,Rédigé le 28 février 2022,Le Japon à Lyon !!!,"Dès que nous passons la porte du restaurant nous nous croyons de suite au Japon ! Cuisine excellente !! et personnel au top !!  
Nous recommandons absolument  !!  Nous reviendrons !!"
21,1,Martine M,4.0,Rédigé le 18 janvier 2022,Excellent restaurant japonais,"Très bon accueil, la nourriture est excellente et un joli lieu pour une belle découverte du saké À recommander Nous y reviendrons"
22,1,Priscillia,5.0,Rédigé le 8 janvier 2022,Excellent !!!,"On a tout simplement adoré. C’était excellent du début jusqu’à la fin. Service irréprochable. Lieu cosy. Une très très bonne adresse que nous recommandons vivement ! 

Resa conseillée."
23,1,aliiinelg,5.0,Rédigé le 4 janvier 2022,Parfait,"C’était vraiment délicieux. Je conseille les sobas, l’omelette et les boulettes de poulpes. Déco incroyable, tout était parfait"
24,1,Marie G,5.0,Rédigé le 5 novembre 2021,Un délice et un dépaysement complet.,"Les plats servis sont copieux et de bonne qualité. J'ai adoré mon plat. La carte est variée et il y en a pour tous les goûts. 
Niveau tarifs, rien à redire.
Petite mention coup de coeur pour le dessert à base de matcha. Très bon et pas trop sucré. 
Le personnel est très sympathique et l'ambiance chouette ! Hésitez pas à réserver car la salle est petite. 
Hâte d'y retourner lors de mon prochain passage sur Lyon."
25,1,Cyril D,5.0,Rédigé le 10 octobre 2021,Petit mais cosi et agréable,Très bonne cuisine et personnel très sympathique ! L'adresse vaut ses compliments. Par contre la réservation est obligatoire car le restaurant est petit
26,1,Rachel B,4.0,Rédigé le 3 octobre 2021,Tapas japonais,"Une belle surprise que cet izakaya proposant des ""tapas"" japonais ou plats aux choix.
J'ai kpte pour un assortiment de plusieurs petites salades et spécialités , mention spéciale pour la salade d encornets et boulettes de poulpe.  Mon mari a testé le shashu ramen, une soupe de nouilles au porc délicieuse.  Très belle carte de sakés également."
27,1,marvarez,5.0,Rédigé le 28 septembre 2021,Excellent bistrot japonais,"Excellent japonais ""comme au Japon"". C'est beau et bon. C'était la quatrième fois que nous venions et nous reviendrons !! Très bon rapport qualité-prix"
28,1,isabelle2907,5.0,Rédigé le 28 août 2021,Belle découverte,"Les plats sont juste délicieux, juste à fermer les yeux et on se retrouve au Japon tellement les saveurs sont là !!
Petite salle à l’étage, restaurant pas très grand, juste ce qu’il faut.
Nous reviendrons avec plaisir,"
29,1,Sandra L,5.0,Rédigé le 24 août 2021,On y reviendra !,"Merveilleux moment culinaire !
Amateurs de soupe s’y rendre s’ennuyer plus tarder!
Petit endroit mais chaleureux et charmant"
30,1,Fanny1012,5.0,Rédigé le 14 juillet 2021,Un véritable régale !,"Un véritable régale. Nous y sommes allé à 2 et tout était parfait. De l’entrée jusqu’au dessert en passant par le service ! 
Mention spéciale pour le Tiramisu the matcha ! Merci à vous :)"
31,1,Jacqueline_communique,5.0,Rédigé le 26 juin 2021,Tokyo importé à Lyon 🌸,"Une tuerie. J’ai retrouvé les saveurs que j’avais découvert sur Tokyo. 🌸 J’y retournerai les yeux fermés ! En revanche il est vrai qu’il faut prévoir un certain budget. Une cinquantaine d’euros pour 2 personnes sans desserts, mais le goût et les proportions les valent !"
32,1,Metroskies,5.0,Rédigé le 25 septembre 2020,Excellent,"Excellent. Tous les plats sont incroyablement bons. Le serveur était très agréable et a beaucoup fait rire notre table. De l’entrée au dessert, tout était délicieux. Je recommande absolument !"
33,1,Aurele_Crl,5.0,Rédigé le 23 septembre 2020,Naruuuuuutoooooo !,"Très belle découverte & référence sur Lyon ! Cela fait déjà plusieurs que je m'y rends, et je ne prends même pas la peine de donner mon avis. Quel indignité..

Je n'ai jamais été déçu et c'est toujours un réel plaisir d'y retourner.

Une vrai escapade culinaire Japonaise.

Petit conseil, les Ramens se mangent bruyamment en faisant de gros SLURPS pour faire refroidir le bouillon servi très chaud avant qu’il n’arrive dans la bouche. Plus vous faîtes de bruit, plus cela signifie que vous vous régalez, alors ne vous gênez pas !"
34,1,Pouljeanne,3.0,Rédigé le 20 septembre 2020,Décevant,"Nous pensions être dépaysés en allant dans ce restaurant. Mais en entrant, l’accueil de 2 jeunes en short nous a un peu refroidis. De plus pour avoir le menu il faut scanner un qr code. Jamais vu ça. Et si nous n’avions pas de téléphone ? Le menu est mal foutu on y comprend rien. Nous avons commandé gyozas, boulettes de poulpe et beignets de crevette. Tout était délicieux mais je n’ai pas trop compris la pointe de mayonnaise dans les boulettes au poulpe. Mdr le tube de mayo sur le comptoir au passage. En plat j’ai été déçue par le porc tonkatsu. Sec et presque pas de sauce. L’autre plat au poulet était meilleur. J’aurais voulu manger une soupe avec des ramen mais comme on n’y comprenait rien à ce menu je me suis trompée. Le tiramisu au matcha était bon mais pas assez sucré. Le prix des sakés est exhorbitant. Nous avons passé notre tour. Pas de cocktail alcoolisé sur leur carte dommage. Le prix n’est cependant pas excessif mais les plats trop secs. Pour toutes ces raisons je mets 3 étoiles et nous ne reviendrons pas."
35,1,Manon C,5.0,Rédigé le 3 septembre 2020,Excellent restaurant japonais !,"J'y vais depuis plusieurs années avec ma famille ou bien des amis. Je n'ai jamais été déçue. Le personnel est top et la nourriture aussi. Je recommande vivement ! Très sympathique le soir pour partager à plusieurs des petits plats et tester une bonne partie de la carte. 
Gros coup de coeur pour le tiramisu au matcha."
36,1,thierry c,5.0,Rédigé le 2 septembre 2020,Un bon restaurant japonais,"A chaque visite nous sommes accueillis et nous ne sommes jamais déçus.
C'est un plaisir de pouvoir conter sur cette adresse."
37,1,Oriane J,5.0,Rédigé le 4 août 2020,Itadakimasu!,"Petit restau dans les rues de lyon 6, bien simpa avec petite ambiance japonaise dès qu'on rentre. Tous les plats (et desserts) sont typiques du japon ainsi que les boissons, et les prix sont raisonnables! On y mange très bien, j'ai adoré les karaage avec le riz! Et le service est top! Equipe souriante et gentille. Je recommande ce bon restau japonais!"
38,1,Letsgotothebeach,5.0,Rédigé le 24 juillet 2020,Escapade au Japon,Toujours difficile de trouver un bon resto japonais et là... très belle surprise! On retrouve vraiment les saveurs authentiques du Japon! Les plats sont frais et délicieux. Je recommande a 100%!!!
39,1,Bastillus B,2.0,Rédigé le 16 juillet 2020,Quantités minuscule,"Au niveau acceuil jai connu beaucoup mieux, Le cuisinier te gueule dessus d entrer, pour non port du masque alors que la distanciation sociale est respecter, de surcroit les serveurs qui laisse poireauter 10 min avant de te placer alors qu il n y pas grand monde, les plats sont bons mais les portions sont ridicules, une collation est necessaire avant d'aller dans ce restaurant, le tout pour un prix très elevé et cela sans dessert. 
Réputation surfaite, on trouve beaucoup mieux en japonnais sur Lyon, je ne retourne pas dans ce restaurant"
40,1,marianaurelgatto,5.0,Rédigé le 13 juillet 2020,très bon,"Les plats sont savoureux. Les udons sont un délices. Bonne expérience, serveurs  très gentilles, service  ultra rapide. ."
41,1,FixouChop,5.0,Rédigé le 8 juillet 2020,Un vrai japonais dans le 6eme,"Adresse très sympa, mets et bières de qualité.
On sort des sushis maki ... habituels
Beau voyage culinaire"
42,1,audric d,5.0,Rédigé le 25 décembre 2019,Kuma,"Très très bon restaurant japonnais.
Superbe accueil et lieu très sympa.
Pensez à réserver car victime de son succès."
43,1,Arnaud P,4.0,Rédigé le 6 décembre 2019,Très bon restaurant,"Le restaurant est dépaysant, dès l’entrée vous changez de continent. L’accueil est très sympathique. Les plats excellents. Et tout ça pour un prix raisonnable. Bref je recommande."
44,1,Olivier83,5.0,Rédigé le 24 novembre 2019,TOP !,"une vraie expérience japonaise, un régal.
L'entrée de tofu frais fut une superbe découverte pour moi et le ramen parfais.
le service top également."
45,1,Jérome DJ,5.0,Rédigé le 23 octobre 2019,Une très bonne adresse,"Les plats sont frais, excellent, et assez copieux.
Le cadre et le décor sont travaillé.

Bref, a essayer."
46,1,Ericka M,5.0,Rédigé le 1 octobre 2019,Excellent,"Le personnel accueillant et sympathique, très bonne cuisine...On s'est régalé...Nous avons voyage le temps d'un repas...on vous le recommande...il est préférable de réserver pour être sur d'avoir une table."
47,1,Juristee,5.0,Rédigé le 29 septembre 2019,Très bonne découverte,Les plats sont vraiment bons et les prix sont très abordables! Je recommande! Mention spéciale pour le poulet teriyaki
48,1,MetzSolo,4.0,Rédigé le 19 septembre 2019,Recommandable,"Restaurant de cuisine japonais, très fréquenté en ce midi, il faut réserver de préférence. Ambiance agréable et bonne cuisine qui change des traditionnels sushis et autres. Ce n’est pas de la haute gastronomie japonaise mais c’est bon et à des prix raisonnables. Bien entendu, grand choix de bières japonaises et de saké."
49,1,Sarah M,5.0,Rédigé le 18 septembre 2019,L’un de mes restaurants japonais préférés,"Je vais chez Kuma Izakaya depuis un moment, quasiment une fois par mois ! 
Je retrouve dans ce restaurant une ambiance typique et de bons plats japonais. Leur tiramisu au thé matcha est vraiment top !"
50,1,Zélia B,4.0,Rédigé le 5 septembre 2019,Top mais un peu cher,"Dépaysement au rendez vous, très très bonne cuisine japonaise, personnel accueillant et sympathique le seul hic... L'addition est un peu salé mais ça en vaut la peine !"
51,1,morita kaoru,4.0,Rédigé le 20 août 2019,Très bon et copieux,"Très bonne cuisine et ils ne lésinent pas sur la quantité, on peut dire qu'on est rassasié (et je pèse mes mots) en sortant du restaurant. Mais bon rapport qualité prix.
La cuisine est traditionnelle et nous fait vraiment voyager, la deco du restaurant aussi. Même les desserts viennent du Japon, notemment leur tiramisu au thé vert.
L'acceuil est moyen."
52,1,Damien Habran,1.0,Rédigé le 1 août 2019,Pas envie de cuisiner après 21h,Si le cuisinier n’a plus envie de bosser après 21h il suffit de l’énoncer clairement ou modifier ses heures d’ouverture à la place de gueuler depuis la cuisine qu’il ne cuisine plus à emporter puis de tenter de se justifier en évoquant le fait qu’il n’a plus de contenants pour emporter. Peut être que leur classement est justifié par la qualité de leur cuisine que je n’ai pas pu juger mais en tout cas certainement par l’accueil du client
53,1,David G,5.0,Rédigé le 17 juillet 2019,Très bien,"Ne connaissant pas bcp la cuisine japonaise j ai bien apprécié et découvert des saveurs.
Bon service."
54,1,Carine C,5.0,Rédigé le 19 juin 2019,Excellent repas !,"C'était pour moi une découverte de la cuisine japonaise.  J' ai beaucoup aimé !
On est loin des clichés de bar à sushi. Tout était savoureux et cuisiné avec des produits frais. Le service est efficace et discret. Je recommande !!!"
55,1,Coastal817706,5.0,Rédigé le 16 juin 2019,Super!,Un restaurant japonais à la hauteur de nos espérances! Tout était parfait. Un délice du début à la fin! Je recommande vivement. Service rapide et chaleureux.
56,1,Steeve B,4.0,Rédigé le 14 juin 2019,Top,"la salade de poulpe était très bien assaisonnée, les ramens étaient top, bref la cuisine est de très bonne qualité. Je mets 4 étoiles car le service n'était pas très chaleureux, pas vraiment enthousiaste, pas à la hauteur de la cuisine."
57,1,Cadrinou,5.0,Rédigé le 28 mai 2019,Itadakimasu !,"J'ai eu le plaisir de déguster un Hiyayakko (tofu frais avec purée d'ail), des takoyaki (boulettes de poulpe), une salade shiitake (salade de champignons) et des gyoza aux légumes. Le tout à emporter !
A recommander !"
58,1,djerbavril,5.0,Rédigé le 25 mai 2019,"Fin, raffiné et ambiance conviviale","Très bon restaurant testé 2 fois avec une amie. Les plats sont d’une grande finesse. L’accueil est chaleureux et la serveuse, toujours souriante, explique patiemment les plats et donne des recommandations. Allez y les yeux fermés : c’est une excellent adresse lyonnaise !"
59,1,Solyluna26,5.0,Rédigé le 21 mai 2019,Très bon restaurant japonnais,"Ici pas de sushis et c'est tant mieux. Les plats sont excellents, avec du goût. Le lieu est tout petit mais intimiste. A decouvrir"
60,1,Ally,5.0,Rédigé le 7 mai 2019,Un régal !,"Un très bon restaurant de cuisine traditionnelle japonaise, pour un prix tout fait raisonnable ! On s’est vraiment régalées avec des saveurs authentiques et subtiles dans un cadre sympathique. Pour les gourmands, les plats de ramen et yakisoba sont vraiment copieux ! Le service a été rapide et agréable.

Le + original : un très très grand choix d’alcools japonais : saké, liqueurs, bières... (4 ou 5 pages consacrées dans le menu !) 

(Ex : 1 pers. > Liqueur d’apéritif + 2 dégustations d’entrée + yakisoba ou ramen + dessert = 35€)"
61,1,Chipielaure77,5.0,Rédigé le 18 avril 2019,Tellement délicieux,"Juste sublime car petit japonais traditionnel sans prétention mais tellement délicieux...
Mon conjoint et moi avons pris les donburis à base de porc et moi de bœuf et ma belle fille les udons à la crevettes : Chacun était conquis de son plat et de son choix.
Pensez bien à réserver !"
62,1,ganeshtuba,5.0,Rédigé le 6 avril 2019,Excellent restaurant japonais,"Ce restaurant propose une carte variée. Ici pas de makis ou de sushis, mais une délicieuse cuisine japonaise variée. 
Coté boissons vous ne serez pas déçus puisque la carte comporte bières japonaises mais surtout de nombreux sakes. 
L'accueil et le service sont parfaits, le rapport qualité prix très bon."
63,1,AndreaRAVA,5.0,Rédigé le 6 avril 2019,Excellent,"Première visite et une bonne surprise, excellent au niveau de l'accueil, du service, du goût et de la quantité. Plat bon, raffiné et bien présenté. On peut voir la cuisine bien entretenu, petit restaurant, mais très bien. On y retournera c'est sûr !! Merci pour votre accueil et ces plats délicieux."
64,1,Julien L,5.0,Rédigé le 14 mars 2019,Tres mignon,"Qualité et service top, très bien mangé, soupe et nouilles très bien cuisiné, acceuil, propreté, nous reviendrons!"
65,1,Thierry1972,5.0,Rédigé le 11 mars 2019,Souper en semaine,"De passage à Lyon nous avons fait une virée en centre ville et avons trouver ce petit restaurant très sympathique.

La cuisine est un régale et le personnel adorable et quand au prix très correcte.

Nous y reviendrons avec plaisir."
66,1,JB37,5.0,Rédigé le 5 mars 2019,Un japonais pas comme les autres,"Restaurant très accueillant, personnel sympathique. Le cadre nous invite au voyage. La carte change de l’ordinaire : pas de sushi, de maki ou autre sashimi !
D’autres plats japonais que j’ai vraiment apprécié ! 
Une très belle surprise !"
67,1,Michela A,4.0,Rédigé le 3 mars 2019,De la vraie cuisine japonaise fait maison,"Je reviens souvent dans ce restaurant japonais qui ne propose pas de sushi mais de véritables mets japonais très bons. Petit à petit j'ai essayé presque tous les plats et à chaque fois je n'ai jamais été déçue. Comme j'ai passé pas mal de temps au Japon, je trouve que les plats proposés sont proches de ceux qui se mangent au Japon, notamment les takoyaki. Les desserts ne sont pas mal, mais pas comme au Japon."
68,1,Sophie-Emmanuel... C,5.0,Rédigé le 1 mars 2019,St valentin au top !,"Une soirée topissime ! Sur réservation, nous avons mangé dans la salle à l'étage, très calme (pourtant pleine) et où le son résonne peu (très très appréciable après une journée de boulot). Les tables peu nombreuses et bien espacées permettent d'être vraiment tranquille.
Le service était très bien, et les plats délicieux (j'ai préféré les petites entrées à partager). Je n'avais plus faim pour les desserts, qui donnaient pourtant très envie, mais je compte bien y retourner.
Bref, une adresse qui nous ramène au Japon en tout simplicité et que je recommande !"
69,1,Alexandre D,4.0,Rédigé le 5 février 2019,C'est fou...,"...comme certains avis peuvent être divergents ! Comme moi, vous vous en lisez un certain nombre pour vous faire une idée et décider si les négatifs ne font pas le poids avec les positifs. Alors, faisons simple : ""KUMA"", c'est un restaurant facile, simple, bon; économique avec des saveurs qui changent des sushis. Après il y a les grands connaisseurs du Japon pour avoir vécu et qui affirment que ce n'est pas de la cuisine japonaise et qui vont jusqu'à rechercher que le gérant est chinois...merci pour l'info, mais si vous voulez passer un moment sympa, tentez l'expérience."
70,1,3lo21,4.0,Rédigé le 30 janvier 2019,Excellent,"Un très bon restaurant japonais, cela change des restaurants de sushis. Les ramens étaient délicieuses."
71,1,mass74fr,4.0,Rédigé le 22 janvier 2019,Pas de Sushi mais c'est bon....,"Voilà un restaurant japonais original, pas de sushi, maki ou autres poissons crus, mais des plats chauds venus directement de l'empire du soleil levant. 
Toujours avec ma fille à la recherche du meilleur Japonais de Lyon, on a trouvé ici une perle rare. On a mangé au comptoir car c'est plein le midi et il faut réserver normalement. (deux petites places au comptoir pour nous, sans réservation super)  
La qualité des plats est là, on mange vraiment bien et prix final 34 euros, à deux sans boisson, pas mal du tout. 
On conseille."
72,1,TT K,5.0,Rédigé le 19 janvier 2019,Le meilleur japonais de Lyon !,Ambiance Izakaya inimitable avec une grande variété de petits plats tous excellents. Les  plats principaux et déserts sont aussi d'une grande qualité. Le tout pour une prix très abordable !
73,1,Delphine V.,5.0,Rédigé le 12 janvier 2019,Un régal,"Je pense que la réputation de ce restaurant n'est plus à faire vu la bonne note qu'il a. Honnêtement on s'est vraiment régalé. Super rapport qualité/prix, bon accueil, repas plus que délicieux, pleins de saveurs et découverte des produits asiatiques. Allez y les yeux fermés !"
74,1,Julie,5.0,Rédigé le 6 janvier 2019,Excellent !,"Nous avons découvert ce restaurant il y a quelques semaines, à la recherche d'un restaurant où nous pourrions manger des spécialités japonaises et n'avons pas été déçus !
Nous avons pris gyoza et takoyakis en entrées, qui sont délicieux, tout comme les yakisoba et udon en plats. Les desserts sont aussi très bons (tiramisu, dorayaki), le service est agréable et rapide et la décoration du restaurant est très belle.
En bref, très bonne découverte, nous ne sommes pas de Lyon mais nous revenons avec plaisir. A recommander !"
75,1,Ricounet74,5.0,Rédigé le 19 décembre 2018,Très bonne qualité à un prix très raisonnable,"Conversation téléphonique agréable pour la réservation, sourires chaleureux à notre arrivée malgré un retard de 15mn, salle agréable. Que ce soit les entrées froides ou chaudes, le ramen ou les pâtes sautées aux crevettes, comme les desserts, cela sent et goutte les produits fait maison, de qualité. Nos amis à quatre pattes ne sont pas admis (nous avions vérifié auparavant par tel.) Nous y retournerons très certainement."
76,1,stephanie01700,5.0,Rédigé le 5 décembre 2018,Délicieux,"Il faut oser pousser cette petite porte. Ça vaut le coup 
Les nouilles comme dans Naruto !
Mon fils était trop heureux 
Nous nous sommes régalés. Déco typique. On adore"
77,1,Draskoh,5.0,Rédigé le 12 novembre 2018,De vrai ramen !,"Un petit restaurant style bistrot japonais qui sait allier plat traditionnelle simple de la cuisine japonaise Ramen, gyoza, salades, nouilles sautées, dombouri...et la dégustation de saké.
Les prix sont très raisonnable et les plats délicieux. Chose rare, les desserts sont également à tomber.
Le service est discret et attentionné."
78,1,Tour25011407795,5.0,Rédigé le 4 novembre 2018,Super !,"Très bon diner, typique et très bon rapport qualité/prix. 
Les entrées à partager c'est très sympa, le service est très bon. Restaurant très propre."
79,1,Aurélie L,5.0,Rédigé le 31 octobre 2018,Des bons plats comme au Japon,Un excellent restaurant qui propose des plats traditionnels comme au Japon. Bref si vous cherchez un restaurant japonais typique vous pouvez y aller les yeux fermés.
80,1,Jajaja003,5.0,Rédigé le 28 octobre 2018,C’est tellement bon !,"On vient très souvent dans ce restaurant car entre les prix abordables et la qualité des produits, nous sommes conquis ! Les takoyki , les gyoza et les ramen sont excellents mais alors le tiramisu au thé vert est carrément à tomber parterre . Je recommande :)"
81,1,marvarez,5.0,Rédigé le 23 octobre 2018,Excellent!,"Super restaurant : plats comme au Japon tous aussi bons les uns que les autres, service rapide et agréable. Nous y retournerons à coup sûr !"
82,1,Yasmine E,5.0,Rédigé le 21 octobre 2018,Excellent et convivial !,"J’y suis allé à plusieurs reprises et à chaque fois c’était un délice! 
Les plats sont excellents et copieux!
De l’accueil à l’addition tout s’est très bien passé...
Je recommande vivement !!"
83,1,Yoann O,5.0,Rédigé le 21 octobre 2018,Excellente découverte,"Cadre cosy (c'est petit, bien penser à réserver ) et accueillant. Un mélange de saveurs bien maîtrisé, tout en finesse. Nous avons adoré. Nous ne sommes pas trop ""sucré"" et avons goûté des parfums de glace subtiles, surprenants. Nous y retournerons."
84,1,Guillaume B,5.0,Rédigé le 20 octobre 2018,gastronomie japonaise,"Très bon petit restaurant japonais, cuisine zéro sushi, une découverte culinaire dans un cadre simple et un peu petit mais avec une équipe efficace, et un joli choix de saké, j'ai pour ma part goûter le kambara, vraiment bien."
85,1,Bérengère G,5.0,Rédigé le 20 octobre 2018,Très bon restaurant japonais,"Très bonne adresse que je recommande vivement. Très bon accueil, beau cadre et le repas est copieux. Très bon rapport qualité prix"
86,1,Didierf478,4.0,Rédigé le 4 octobre 2018,Bonne auberge japonaise,"L’accueil est sympathique, le cadre bien. Grand choix de saké. Les plats sont savoureux pour un prix abordable. Bonne impression."
87,1,etga,5.0,Rédigé le 22 septembre 2018,"Cuisine maîtrise, déco sympa. À refaire","Nous avons mangé en couple dans ce restaurant. Tout était parfait beau et bon. Bon accueil, discret. À refaire."
