id_restaurant,nom,localisation,categorie,tags,note_globale,total_comments,url
1,KUMA cantine,"93 Rue Masséna, 69006 Lyon France",Restaurant,"Japonaise, Asiatique, €€-€€€",4.5,236,https://www.tripadvisor.fr/Restaurant_Review-g187265-d7171160-Reviews-KUMA_cantine-Lyon_Rhone_Auvergne_Rhone_Alpes.html
2,Mattsam Restaurant Messob,"85 rue Massena, 69006 Lyon France",Restaurant,"Africaine, Éthiopienne, €€-€€€",4.0,276,https://www.tripadvisor.fr/Restaurant_Review-g187265-d1330943-Reviews-Mattsam_Restaurant_Messob-Lyon_Rhone_Auvergne_Rhone_Alpes.html
3,Brasserie des Confluences,"86 Quai Perrache, 69002 Lyon France",Restaurant,"€€-€€€, Française, Européenne",4.0,700,https://www.tripadvisor.fr/Restaurant_Review-g187265-d7698838-Reviews-Brasserie_des_Confluences-Lyon_Rhone_Auvergne_Rhone_Alpes.html
4,Christian Tetedoie,"4 Rue du Professeur Pierre Marion, 69005 Lyon France",Restaurant,"Française, Européenne, €€€€",4.0,1876,https://www.tripadvisor.fr/Restaurant_Review-g187265-d715010-Reviews-Christian_Tetedoie-Lyon_Rhone_Auvergne_Rhone_Alpes.html
5,Gang Nam,"6 rue Thomassin, 69002 Lyon France",Restaurant,"Japonaise, Barbecue/Grillades, €€-€€€",4.5,108,https://www.tripadvisor.fr/Restaurant_Review-g187265-d6694423-Reviews-Gang_Nam-Lyon_Rhone_Auvergne_Rhone_Alpes.html
6,Crêperie La Marie Morgane,"23 Rue de la Charité, 69002 Lyon France",Restaurant,"Française, Convient aux végétariens, €",4.5,202,https://www.tripadvisor.fr/Restaurant_Review-g187265-d4338972-Reviews-Creperie_La_Marie_Morgane-Lyon_Rhone_Auvergne_Rhone_Alpes.html
7,Fiston - Bouchon Lyonnais,"33 Rue Saint-Jean, 69005 Lyon France",Restaurant,"Française, Saine, €€-€€€",4.5,413,https://www.tripadvisor.fr/Restaurant_Review-g187265-d15130370-Reviews-Fiston_Bouchon_Lyonnais-Lyon_Rhone_Auvergne_Rhone_Alpes.html
8,Les Terrasses de Lyon,"25 Montee Saint Barthelemy, 69005 Lyon France",Restaurant,"€€€€, Française, Convient aux végétariens",4.5,918,https://www.tripadvisor.fr/Restaurant_Review-g187265-d3727154-Reviews-Les_Terrasses_de_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html
9,Empanadas Club,"4 Rue Pizay, 69001 Lyon France",Restaurant,"Latino, Saine, €",5.0,418,https://www.tripadvisor.fr/Restaurant_Review-g187265-d19896976-Reviews-Empanadas_Club-Lyon_Rhone_Auvergne_Rhone_Alpes.html
10,Kenbo,"3 avenue Berthelot, 69007 Lyon France",Restaurant,"€€-€€€, Asiatique, Thaï, Convient aux végétariens",4.5,204,https://www.tripadvisor.fr/Restaurant_Review-g187265-d9597301-Reviews-Kenbo-Lyon_Rhone_Auvergne_Rhone_Alpes.html
